,Date,Amount,Token,XLINE,XLINE2,,Amount2,Token2,Amount3,Token3,Line#,USD,$ / token,Type,Defi,Notes,Current Classifications,Wallet,Txhash,Sender,Receiver,,,Categorized,,Count
FALSE,"October 13, 2020, 1:57: PM",0.66434671,FARM,,,,,,,,,,,,,,,BCAP Fund,0x4275502863821e8b90a91a6dad972adf969db8242e74f320512ca280bac7fbf6,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,11
FALSE,"October 12, 2020, 12:41: PM","-1,821.08212",FARM-USDC-5,,,,,,,,,,,,,,,BCAP Fund,0x9349dfbfb79f5b35520b30fb94220dd9d156fd004fec9b0187ba06a3e57dbfb4,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,12
FALSE,"October 12, 2020, 12:40: PM","-1,882.714041",USDC,,,,"1,821.08212",FARM-USDC-5,,,,,,,,,,BCAP Fund,0x5fc8b2f50bd2810359cde906018d04e30c1fb54680f2f2e48cbf1bd135046cd1,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xF8ce90c2710713552fb564869694B2505Bfc0846,,,,Categorized,13
FALSE,"October 12, 2020, 8:11: AM",-14.057001,FARM,,,,"1,882.714041",USDC,,,,,,,,,,BCAP Fund,0x0b8e4e935e7e42d13f36443346bc9c167409cfaae38e2197df770c023b0b328c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,,,,Categorized,14
FALSE,"October 12, 2020, 8:06: AM",,,,,,,,,,,,,,,,,BCAP Fund,0x1b510b5f1a2de3657fd3492e04e3e336b8a9b66324217f0fc2de4a3d7e8f715c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x61935CbDd02287B511119DDb11Aeb42F1593b7Ef,,,,Categorized,15
FALSE,"October 12, 2020, 7:29: AM",,,,,,,,,,,,,,,,,BCAP Fund,0x79f7725ba439a14f6f5c8f9993de3cef8fbf8240776c2625ba2ff7b1f5ddf4c4,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,Categorized,16
FALSE,"October 12, 2020, 7:25: AM",,,,,,,,,,,,,,,,,BCAP Fund,0x587aedf3e61447d0a792fa875b00f7cf7b7eb6f4e5330f75aac02f9100213afc,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,Categorized,17
FALSE,"October 12, 2020, 7:25: AM",1.58524484,FARM,,,,,,,,,,,,,,,BCAP Fund,0x51b2f0d9fae7c5286ff47016826b68c10eb4b5d1bb3cdf4d717b67e0caa1de78,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,18
FALSE,"October 12, 2020, 7:17: AM",12.47175617,FARM,,,,,,,,,,,,,,,BCAP Fund,0x157f0d406f3f97d1388f01a1904a095355d3e464ff6e83f14d223ef8e4b1db39,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,19
FALSE,"October 8, 2020, 11:04: AM",-972.566013,FARM-USDC-5,,,,,,,,,,,,,,,BCAP Fund,0xfbbd3ce51e1cd237bb20e3b77e3b7f67610a4af1e0891e3b0ac6bfd00a99fca2,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,20
FALSE,"October 8, 2020, 11:04: AM","-1,005.392024",USDC,,,,972.566013,FARM-USDC-5,,,,,,,,,,BCAP Fund,0xf6570abdd5f10890066195e3e9da044dc6ec95755fd0eb51852bd08b346933bd,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xF8ce90c2710713552fb564869694B2505Bfc0846,,,,Categorized,21
FALSE,"October 8, 2020, 11:02: AM",-9.41582102,FARM,,,,"1,005.392024",USDC,,,,,,,,,,BCAP Fund,0xb1177a5450cc91ce6a66e712ba242f12a6a0380adb8f2e355ce134ae1f31d018,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,,,,Categorized,22
FALSE,"October 8, 2020, 11:00: AM",7.93026575,FARM,,,,,,,,,,,,,,,BCAP Fund,0x7ada58852b3cfcfa79a673b3782f4774b2ae8e978ad6130ed3b68690391f3a96,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,23
FALSE,"October 8, 2020, 10:57: AM",1.48555527,FARM,,,,,,,,,,,,,,,BCAP Fund,0xab598d4f527567ad72ad9f0bd37e31c6652f437f126bd791adb8962ff33996be,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,24
FALSE,"October 6, 2020, 9:08: PM","-7,430.121954",FARM-USDC-5,,,,,,,,,,,,,,,BCAP Fund,0x9afd669e4cdc8468b50f41dd2729f4c2394084384c6273618aff822304aa970f,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,25
FALSE,"October 6, 2020, 9:07: PM","-7,677.361252",USDC,,,,"7,430.121954",FARM-USDC-5,,,,,,,,,,BCAP Fund,0xf6e6ba694ae1ee524b0f435519b8568edb4869c38de6456e7ac5dfa8c2d30a27,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xF8ce90c2710713552fb564869694B2505Bfc0846,,,,Categorized,26
FALSE,"October 6, 2020, 9:03: PM",-75.56268806,FARM,,,,"7,677.361252",USDC,,,,,,,,,,BCAP Fund,0x13e66b0aadd13f4d9e6860c6a6798e47575359c851760557db4194ee3002bc56,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,,,,Categorized,27
FALSE,"October 6, 2020, 9:00: PM",66.95445535,FARM,,,,,,,,,,,,,,,BCAP Fund,0x021829d00fca2060a98377504b00d7279caafaaa726fc69d89ca76379d3133d0,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x25550Cccbd68533Fa04bFD3e3AC4D09f9e00Fc50,,,,Categorized,28
FALSE,"October 6, 2020, 8:59: PM",2.39723822,FARM,,,,,,,,,,,,,,,BCAP Fund,0x6301d833250f0e16f6a938950359cd4d537da7656862dc3bad245a19a44ebf37,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,29
FALSE,"October 6, 2020, 10:28: AM",5.49273199,FARM,,,,,,,,,,,,,,,BCAP Fund,0x5031b3cb699f01fe531f4c0e028f24bd031050f380a6fd7c88f5bb72b13cc1fe,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,30
FALSE,"October 6, 2020, 10:28: AM",0.7182625,FARM,,,,,,,,,,,,,,,BCAP Fund,0x0b31b6d42848e08ac7c1975f36e00eb4b65d3638d8dde7bd47feda5ceaa184a3,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,31
FALSE,"October 5, 2020, 9:31: AM",-27.60039923,FARM,,,,,,,,,,,,,,,BCAP Fund,0x8dafe535e278741fae5c1d357af5cdb0d485c68e7efecb9bd34b2b751de5084e,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x25550Cccbd68533Fa04bFD3e3AC4D09f9e00Fc50,,,,Categorized,32
FALSE,"October 5, 2020, 9:28: AM",24.85062541,FARM,,,,,,,,,,,,,,,BCAP Fund,0x4afcd6feb525c8a3de435cc17c3257f331af3fb563ae541cc79b7201af738286,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,33
FALSE,"October 5, 2020, 9:26: AM",2.74977383,FARM,,,,,,,,,,,,,,,BCAP Fund,0xd91866acbe8ef71c7f6f220ee534e4ad01bf1c5ccb9bde04790dea138aa92794,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,34
FALSE,"October 1, 2020, 3:23: PM","-50,043.246721",FARM-USDC-5,,,,,,,,,,,,,,,BCAP Fund,0x3fb2909a71cc77f0f94938383c4f4038db54fe858e2afc970441f6940cec8794,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,35
FALSE,"October 1, 2020, 3:22: PM","-51,675.843335",USDC,,,,"50,043.246721",FARM-USDC-5,,,,,,,,,,BCAP Fund,0x5a261227fa428fe4609972bbc48d94950f4abc26ac7c6879ee20e922420d9490,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xF8ce90c2710713552fb564869694B2505Bfc0846,,,,Categorized,36
FALSE,"October 1, 2020, 3:20: PM",-12.16177809,CREAM,,,,619.00944,USDC,,,,,,,,,,BCAP Fund,0xcd23d2dfffa89d7b5278245723e2ae637156a5f7251ed522ea5a58696f2d61b3,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,,,,Categorized,37
FALSE,"October 1, 2020, 3:16: PM",,,,,,,,,,,,,,,,,BCAP Fund,0xa46d72e9111fa6d2f78529d43bae8de33807fbc209382621f8bd74ae8a00d46e,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x2ba592F78dB6436527729929AAf6c908497cB200,,,,Categorized,38
FALSE,"October 1, 2020, 3:12: PM",,,,,,,,,,,,,,,,,BCAP Fund,0x64809241c8a9ff047d00dcb1ee12933b652ed5181e3e0abf7cd579a18808ae6c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x2ba592F78dB6436527729929AAf6c908497cB200,,,,Categorized,39
FALSE,"October 1, 2020, 3:09: PM","-8,617.51025273",CYUSD,,,,"8,615.188177",USDC,,,,,,,,,,BCAP Fund,0x0daae79abdde2babf4af5685f0bb71507ef024e93ae24aae4652672b0e122d9f,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x1D09144F3479bb805CB7c92346987420BcbDC10C,,,,Categorized,40
FALSE,"October 1, 2020, 3:06: PM","-88,633.47555833",CRPT-CYUSD-CREAM,,,,"8,617.51025273",CYUSD,8.95117158,CREAM,,,,,,,,BCAP Fund,0x4ca1530e873139f041c1bb91e843aafb44c93a392775d18b1bba5414836922b8,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xaAF841fd6409c136FA4b960e22A92B45B26c9b41,,,,Categorized,41
FALSE,"October 1, 2020, 3:03: PM","-42,451.466205",CYUSD,,,,"42,441.645718",USDC,,,,,,,,,,BCAP Fund,0xa39a4ea5b15a3645dd3c356920eeced4f54395c5dfaee864adb6b480b9f0f6ea,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x1D09144F3479bb805CB7c92346987420BcbDC10C,,,,Categorized,42
FALSE,"October 1, 2020, 3:00: PM","88,633.475558",CRPT-CYUSD-CREAM,,,,1.11072055,CREAM,,,,,,,,,,BCAP Fund,0x3b774bd1035104cd12bb2eed2c20b8544e086f24b49759e8439e54de9bb370d9,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xAE76E0D0C4767E94Eb2898f42A96696Ae0061cEA,,,,Categorized,43
FALSE,"October 1, 2020, 2:59: PM","42,451.466205",CYUSD,,,,2.09795821,CREAM,,,,,,,,,,BCAP Fund,0x9600252ab4c693d37de900b6c436a722f17ef425f49795964033c92a269baf69,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x0b471a71c3f6d4aADc7eb20AaB7D730Ae385e150,,,,Categorized,44
FALSE,"October 1, 2020, 1:21: PM",-10.52854542,FARM,,,,,,,,,,,,,,,BCAP Fund,0x85d94f57918cdeed1a393fb5ec4db126695d9665d2d374949798a658b21402a8,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x25550Cccbd68533Fa04bFD3e3AC4D09f9e00Fc50,,,,Categorized,45
FALSE,"October 1, 2020, 1:18: PM",8.98927169,FARM,,,,,,,,,,,,,,,BCAP Fund,0xb2e068354b9d64d06c8cd396d16ebafb654834c8a2c49deb77f2d1870932abd8,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,46
FALSE,"October 1, 2020, 1:17: PM",1.4402083,FARM,,,,,,,,,,,,,,,BCAP Fund,0x86b5136decabf2ec6c73f754b85df385fb4171e5d8539cd3b5d41974033231a8,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,47
FALSE,"September 30, 2020, 10:38: AM",-27.80751463,FARM,,,,,,,,,,,,,,,BCAP Fund,0x1df3b20053da6c1f90cdc3110cffe610177a70d4d7995f88188c385691f08539,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x25550Cccbd68533Fa04bFD3e3AC4D09f9e00Fc50,,,,Categorized,48
FALSE,"September 30, 2020, 10:37: AM",,,,,,,,,,,,,,,,,BCAP Fund,0xf20cd29d7483bceeac4e5f44c2a04feff28f67988c5428aa70aa70b2fb88ed2f,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,Categorized,49
FALSE,"September 30, 2020, 10:37: AM",27.80751463,FARM,,,,0.09906543,FARM,,,,,,,,,,BCAP Fund,0x550f4d10bfa2c292c5da79f4405921c6064d9b5387e486503f9b4ba58b50b14b,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x59258F4e15A5fC74A7284055A8094F58108dbD4f,,,,Categorized,50
FALSE,"September 30, 2020, 7:27: AM",-8.44939952,FARM,,,,,,,,,,,,,,,BCAP Fund,0x966eeabfa4c843d0433ffaebd1220083ad3d2487a0a3f2dd66854b11f7ff6995,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x59258F4e15A5fC74A7284055A8094F58108dbD4f,,,,Categorized,51
FALSE,"September 30, 2020, 7:24: AM",8.44939952,FARM,,,,,,,,,,,,,,,BCAP Fund,0x9b6d004653c61b323582ebc83cf93a4256cbc733c49ff65a8d014886ae8fe22e,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,52
FALSE,"September 29, 2020, 8:50: AM","-42,451.466205",CYUSD,,,,,,,,,,,,,,,BCAP Fund,0x366e0fbda681f957824a0f53f9e90cba93a24c0c2058c0d8e3ab33ab12331969,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x0b471a71c3f6d4aADc7eb20AaB7D730Ae385e150,,,,Categorized,53
FALSE,"September 29, 2020, 8:47: AM","-88,633.475558",CRPT-CYUSD-CREAM,,,,,,,,,,,,,,,BCAP Fund,0x7fc44a61d906a4ac7ba09c2f2047dcdcd9f8ca6c2b89bd8677cb1ef8ebde9a5e,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xAE76E0D0C4767E94Eb2898f42A96696Ae0061cEA,,,,Categorized,54
FALSE,"September 29, 2020, 8:44: AM",,,,,,,,,,,,,,,,,BCAP Fund,0x286f839474475e7a24a0f0bb60b26a9795306551f37a621f83693954ecdf5d69,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xaAF841fd6409c136FA4b960e22A92B45B26c9b41,,,,Categorized,55
FALSE,"September 29, 2020, 8:41: AM","-8,754.6503859",CYUSD,,,,-6.62340187,CREAM,"88,633.47555833",CRPT-CYUSD-CREAM,,,,,,,,BCAP Fund,0xd9f4d4cedd407dec42b964448c9b73baa93de6bc6576d767218179ce2171a7a8,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xaAF841fd6409c136FA4b960e22A92B45B26c9b41,,,,Categorized,56
FALSE,"September 29, 2020, 8:41: AM",,,,,,,,,,,,,,,,,BCAP Fund,0xd9a361aa58149fefcbef74f22bdd32427aa66743c51412e632cb4cbdbfa1b843,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x1D09144F3479bb805CB7c92346987420BcbDC10C,,,,Categorized,57
FALSE,"September 29, 2020, 8:41: AM",,,,,,,,,,,,,,,,,BCAP Fund,0x93d18b01d9c2e68ee2d0005970edbde8d918eda75de829eb5afa72fcb6fb517b,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x2ba592F78dB6436527729929AAf6c908497cB200,,,,Categorized,58
FALSE,"September 29, 2020, 8:34: AM","51,206.11659",CYUSD,,,,6.62532962,CREAM,,,,,,,,,,BCAP Fund,0xf640169554fb12239178159c492491d10a8a32af9e8429fc3b052a5d86649793,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x0b471a71c3f6d4aADc7eb20AaB7D730Ae385e150,,,,Categorized,59
FALSE,"September 29, 2020, 8:20: AM",-19.35811511,FARM,,,,,,,,,,,,,,,BCAP Fund,0x5a91948c7191a108a1988986c044c4e3db3d0124f508fe6e637fa3e342179185,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x59258F4e15A5fC74A7284055A8094F58108dbD4f,,,,Categorized,60
FALSE,"September 29, 2020, 8:19: AM",16.72092591,FARM,,,,,,,,,,,,,,,BCAP Fund,0xaef535e9e6fa9a346bac81ede343fbca2a6056b5a5b7bb2566d8945ecdd223da,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,61
FALSE,"September 29, 2020, 8:17: AM",2.6371892,FARM,,,,,,,,,,,,,,,BCAP Fund,0xf5a25a05bebe21d142c78719b1c434f73cec354b3e5ba6cb2bf4002d32e68fef,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,62
FALSE,"September 28, 2020, 7:12: AM","-5,478.870411",FARM-USDC-5,,,,,,,,,,,,,,,BCAP Fund,0x0244ed14c277be28479e9de846be7f2f734a6069c5a49d1c5a0ed9ce44324a1c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,63
FALSE,"September 27, 2020, 1:01: PM","-5,657.119573",USDC,,,,"5,478.870411",FARM-USDC-5,,,,,,,,,,BCAP Fund,0x834ca260042524c0b34544f9acf140e1906a0d401fc40619871f119b5f29337f,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xF8ce90c2710713552fb564869694B2505Bfc0846,,,,Categorized,64
FALSE,"September 27, 2020, 12:58: PM",-49.54968373,FARM,,,,"5,657.119573",USDC,,,,,,,,,,BCAP Fund,0x9277dc4d956b70ea843bd0a83a94d3005d7429b6a4649cfe34859553d8642649,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,,,,Categorized,65
FALSE,"September 27, 2020, 12:55: PM",,,,,,,,,,,,,,,,,BCAP Fund,0xf93b3433b6fb4c0682cd8ffc412cdf67b0a05393173f35033cf363d0086d9060,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,Categorized,66
FALSE,"September 27, 2020, 12:54: PM",29.90067417,FARM,,,,0.45914221,FARM,,,,,,,,,,BCAP Fund,0x8bdd199939aa8d257884dbe75b3def8b19d7dce0b9ea1f44e65c29ee102fd706,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x59258F4e15A5fC74A7284055A8094F58108dbD4f,,,,Categorized,67
FALSE,"September 27, 2020, 10:40: AM",19.18986735,FARM,,,,,,,,,,,,,,,BCAP Fund,0x91ed1b78153e12b8c5a5be2451786feedc22ac28cb4164c7b8733fae0d403ff4,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,68
FALSE,"September 27, 2020, 10:40: AM",,,,,,,,,,,,,,,,,BCAP Fund,0x8c11c28c9595e8bd3f465fdd57afcc34a5039b61b8bb8f2e3cd63bdad6417021,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7224D1965F85572750A7BfB6845759DE52A8B76A,,,,Categorized,69
FALSE,"September 25, 2020, 4:41: PM",-11.55274377,FARM,,,,,,,,,,,,,,,BCAP Fund,0x42c4dadd42215e9b2bd35f7fb95d86eb0f2e0434c2982ddf62197a3b8311b279,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x59258F4e15A5fC74A7284055A8094F58108dbD4f,,,,Categorized,70
FALSE,"September 25, 2020, 4:36: PM",9.31039883,FARM,,,,,,,,,,,,,,,BCAP Fund,0xfc9065da181e6a8c8ba268b1aa8bfd5f69a78abe9fa3c9a3355659d3714b9a61,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,71
FALSE,"September 25, 2020, 4:36: PM",2.24234494,FARM,,,,,,,,,,,,,,,BCAP Fund,0xed28cfa49307e0fecda1977e78ffb375599cdd265caf5464007f1ca67a9299b7,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,72
FALSE,"September 24, 2020, 10:22: AM",-12.79405732,FARM,,,,,,,,,,,,,,,BCAP Fund,0x7bc7c96832490f46bf3fbaff5fde9afcc0c7a810628d4793a67b6f52fff2ee22,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x59258F4e15A5fC74A7284055A8094F58108dbD4f,,,,Categorized,73
FALSE,"September 24, 2020, 9:51: AM","-824,163.789941",FARM-USDC-5,,,,,,,,,,,,,,,BCAP Fund,0xb0074abe3b1f5673b3ca4262c6f59839db274dcf860cd264509089218ffec09e,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,74
FALSE,"September 24, 2020, 9:37: AM","-51,206.11659",CYUSD,,,,,,,,,,,,,,,BCAP Fund,0xadc4dc06ddf713d01814f92d49bcc09762ac2314cb7166909a24e66c517919d3,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x0b471a71c3f6d4aADc7eb20AaB7D730Ae385e150,,,,Categorized,75
FALSE,"September 24, 2020, 9:36: AM",,,,,,,,,,,,,,,,,BCAP Fund,0x2bd0378e3810a3a4a37826b5026492a7db04f4cb7939b45815dc33c55319d276,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x1D09144F3479bb805CB7c92346987420BcbDC10C,,,,Categorized,76
FALSE,"September 24, 2020, 9:35: AM",,,,,,,,,,,,,,,,,BCAP Fund,0xb45d4e723d422ba07e591d4b1fef7c88d7c76975b1e3c0ae459b9a02f33087db,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x1D09144F3479bb805CB7c92346987420BcbDC10C,,,,Categorized,77
FALSE,"September 24, 2020, 9:30: AM","-51,554.678273",USDC,,,,"51,206.1165909",CYUSD,,,,,,,,,,BCAP Fund,0x5bd9b15595349938bf3d3bbcdab6c8a357f35f9096f5adffa347863dde40c472,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x1D09144F3479bb805CB7c92346987420BcbDC10C,,,,Categorized,78
FALSE,"September 24, 2020, 9:27: AM",,,,,,,,,,,,,,,,,BCAP Fund,0xd0e987a3261298b22a8dc94403bb0203e2238fe72412fe5c9c0f17fd8a0e9cf1,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,,,,Categorized,79
FALSE,"September 24, 2020, 9:25: AM","-50,000",FARM-USDC-5,,,,"51,554.678273",USDC,,,,,,,,,,BCAP Fund,0xe2c4881e945d4963b10637245081499b9b8397a895308b9cd4e556c48e15b73d,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc3F7ffb5d5869B3ade9448D094d81B0521e8326f,,,,Categorized,80
