,Date,Amount,Token,Amount2,Token2,,USD,$ / token,Type,Defi,Notes,Current Classifications,Wallet,Txhash,Sender,Receiver
FALSE,"May 24, 2021 3:03 PM",-3.0028,TBTC,,,1,,,,,,,BCAP Fund,0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 3:03 PM","116,410.480552",USDC,,,2,,,,,,,BCAP Fund,0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 1:40 PM",,,,,,,,,,,,BCAP Fund,0x7186e0c21b0b3f5f6b7bb6008db5909275be1edbe14c4d68155eabe692498643,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa
FALSE,"May 24, 2021 1:38 PM",,,,,,,,,,,,BCAP Fund,0x387eff8c43c5d4f36bc84b3b881f14ee5c7b03e248397d84e2c7ff06ad68e139,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x8dAEBADE922dF735c38C80C7eBD708Af50815fAa
FALSE,"May 24, 2021 12:36 PM",-114,ETH,,,1,,,,,,,BCAP Fund,0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 12:36 PM",7.61045467,WBTC,,,2,,,,,,,BCAP Fund,0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 12:32 PM","-1,709.3437",BADGER,,,1,,,,,,,BCAP Fund,0x9e3ba6e8b6d7a38cc0daa94f3eae1d9f0cdd41a11bc96e36d9d3c66589408aed,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 12:32 PM","20,547.841593",USDC,,,2,,,,,,,BCAP Fund,0x9e3ba6e8b6d7a38cc0daa94f3eae1d9f0cdd41a11bc96e36d9d3c66589408aed,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 12:31 PM","-9,153.0652",KEEP,,,1,,,,,,,BCAP Fund,0xdfda3cf06fe6590f488298b77e6fab71988732edeff708dace4030a6f1208319,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 12:31 PM","2,698.700358",USDC,,,2,,,,,,,BCAP Fund,0xdfda3cf06fe6590f488298b77e6fab71988732edeff708dace4030a6f1208319,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 12:27 PM",-21.0351,FARM,,,1,,,,,,,BCAP Fund,0x9f15ca21efb7996f461a42413adef18ec192277856b9e70654960d2315304c9a,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 12:27 PM",,,,,,,,,,,,BCAP Fund,0x46c2b3fb04b5c93d97a05bbeac4ad1e22f29a5a8af8ade33901bf269563955d0,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x85Eee30c52B0b379b046Fb0F85F4f3Dc3009aFEC
FALSE,"May 24, 2021 12:27 PM","1,655.304352",USDC,,,2,,,,,,,BCAP Fund,0x9f15ca21efb7996f461a42413adef18ec192277856b9e70654960d2315304c9a,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 24, 2021 12:20 PM","-405,408.9650985",yDAI+yUSDC+yUSDT+yBUSD,,,1,,,,,,,BCAP Fund,0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xb6c057591E073249F2D9D88Ba59a46CFC9B59EdB
FALSE,"May 24, 2021 12:20 PM",68.1340996,ETH,,,1,,,,,,,BCAP Fund,0xadf9d23245de3b0a28b6cfb58391d6bdb4a94c1d9fd2454da57dad156cfc87b4,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F
FALSE,"May 24, 2021 12:20 PM","451,697.199516",USDC,,,2,,,,,,,BCAP Fund,0x6b94b64910daf364d629d773e536dfeea18381cc577dca7b2696257f6344bc42,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xb6c057591E073249F2D9D88Ba59a46CFC9B59EdB
FALSE,"May 24, 2021 12:20 PM",-0.00249604,SLP-USDC-WETH,,,2,,,,,,,BCAP Fund,0xadf9d23245de3b0a28b6cfb58391d6bdb4a94c1d9fd2454da57dad156cfc87b4,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F
FALSE,"May 24, 2021 12:18 PM","-373,973.578935",FARM-USDC,,,1,,,,,,,BCAP Fund,0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE
FALSE,"May 24, 2021 12:18 PM",-0.0023163,FARM-SLP-7,,,1,,,,,,,BCAP Fund,0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x01bd09A1124960d9bE04b638b142Df9DF942b04a
FALSE,"May 24, 2021 12:18 PM","338,584.812398",USDC,,,2,,,,,,,BCAP Fund,0x25c910561cef12733a62be9e960d24398e2bd7ad36773e120dbd8e90aad25c57,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE
FALSE,"May 24, 2021 12:18 PM",0.00249604,SLP-USDC-WETH,,,2,,,,,,,BCAP Fund,0x6e8b043d97b8fc6b57f89be7a00bf3338724c4a7ee8683eac3b727dde2a395ca,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x01bd09A1124960d9bE04b638b142Df9DF942b04a
FALSE,"May 24, 2021 12:15 PM","373,973.578935",FARM-USDC,,,1,,,,,,,BCAP Fund,0xb12ba2791068316def55c18bf41a202deb01e79e13ebbc428dd459151e910617,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x4F7c28cCb0F1Dbd1388209C67eEc234273C878Bd
FALSE,"May 24, 2021 12:15 PM",3.96927814,FARM,,,2,,,,,,,BCAP Fund,0xb12ba2791068316def55c18bf41a202deb01e79e13ebbc428dd459151e910617,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x4F7c28cCb0F1Dbd1388209C67eEc234273C878Bd
FALSE,"May 24, 2021 12:12 PM",44.94856795,ETH,,,1,,,,,,,BCAP Fund,0xf45a7e4e7c5129c7a8916328078f4ad83a1dc741d76fb91d85fa447f8e327545,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
FALSE,"May 24, 2021 12:12 PM",-10.99143529,UNI-V2-TBTC-WETH,,,2,,,,,,,BCAP Fund,0xf45a7e4e7c5129c7a8916328078f4ad83a1dc741d76fb91d85fa447f8e327545,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
FALSE,"May 24, 2021 12:11 PM",10.99143529,UNI-V2-TBTC-WETH,,,1,,,,,,,BCAP Fund,0x4fba20053cc1640fc50aadf2da70b00446b57b89abb0c3f6547043fdb7d9b611,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x81C51dD453DBFf8f16036B3f0fB54d7bd03F036F
FALSE,"May 24, 2021 12:11 PM","-388,347.8112603",FARM-yDAI+yUSDC+yUSDT+yBUSD,,,1,,,,,,,BCAP Fund,0xa881b1d61f33f275919bdc371169e92aa8efd0dc4de3c9d2b4108197a41353b0,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x4b1cBD6F6D8676AcE5E412C78B7a59b4A1bbb68a
FALSE,"May 24, 2021 12:11 PM",,,,,,,,,,,,BCAP Fund,0xe0485228d20e3b02873acb0c492cf5aca96c83ea39802f12c5244fb71b799d80,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x854056Fd40C1B52037166285B2e54Fee774d33f6
FALSE,"May 24, 2021 12:11 PM","9,153.06521642",KEEP,,,2,,,,,,,BCAP Fund,0x4fba20053cc1640fc50aadf2da70b00446b57b89abb0c3f6547043fdb7d9b611,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x81C51dD453DBFf8f16036B3f0fB54d7bd03F036F
FALSE,"May 24, 2021 12:11 PM","405,408.9650985",yDAI+yUSDC+yUSDT+yBUSD,,,2,,,,,,,BCAP Fund,0xa881b1d61f33f275919bdc371169e92aa8efd0dc4de3c9d2b4108197a41353b0,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x4b1cBD6F6D8676AcE5E412C78B7a59b4A1bbb68a
FALSE,"May 24, 2021 12:08 PM","388,347.8112603",FARM-yDAI+yUSDC+yUSDT+yBUSD,,,1,,,,,,,BCAP Fund,0xf0768f9d1f30477042125423d184a8d1e3f9f9d7fdd6d7de2ad794e17423f22c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x093C2ae5E6F3D2A897459aa24551289D462449AD
FALSE,"May 24, 2021 12:08 PM",12.08611072,FARM,,,2,,,,,,,BCAP Fund,0xf0768f9d1f30477042125423d184a8d1e3f9f9d7fdd6d7de2ad794e17423f22c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x093C2ae5E6F3D2A897459aa24551289D462449AD
FALSE,"May 24, 2021 12:04 PM",-27.78511574,tbtc/sbtcCrv,,,1,,,,,,,BCAP Fund,0x8cc6d37e8facc312c96389753a02af3490e1f7cdb864271fb8b1aac90ca0d46d,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xaa82ca713D94bBA7A89CEAB55314F9EfFEdDc78c
FALSE,"May 24, 2021 12:04 PM",27.98372448,WBTC,,,2,,,,,,,BCAP Fund,0x8cc6d37e8facc312c96389753a02af3490e1f7cdb864271fb8b1aac90ca0d46d,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xaa82ca713D94bBA7A89CEAB55314F9EfFEdDc78c
FALSE,"May 24, 2021 12:00 PM",-27.38865078,btbtc/sbtcCrv,,,1,,,,,,,BCAP Fund,0x7a1e7831d47a7e7fe6462cf593483e7e08eb3ca1cad636f6956cd75ff4c3759f,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xb9D076fDe463dbc9f915E5392F807315Bf940334
FALSE,"May 24, 2021 12:00 PM",27.78511574,tbtc/sbtcCrv,,,2,,,,,,,BCAP Fund,0x7a1e7831d47a7e7fe6462cf593483e7e08eb3ca1cad636f6956cd75ff4c3759f,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xb9D076fDe463dbc9f915E5392F807315Bf940334
FALSE,"May 24, 2021 11:59 AM",165.39327594,BADGER,,,1,,,,,,,BCAP Fund,0x8891f4d8bae1af36993ee80c2696b7e5eed872a0ae35502a2c21973735489d4c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x660802Fc641b154aBA66a62137e71f331B6d787A
FALSE,"May 24, 2021 11:59 AM",0.00171091,DIGG,,,2,,,,,,,BCAP Fund,0x8891f4d8bae1af36993ee80c2696b7e5eed872a0ae35502a2c21973735489d4c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x660802Fc641b154aBA66a62137e71f331B6d787A
FALSE,"May 12, 2021 4:29 PM",-925.60753473,bBADGER,,,1,,,,,,,BCAP Fund,0x078a129510f21b9b345b37ca0eb4ae32b6618c4d5cbaa11216743170cf854444,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
FALSE,"May 12, 2021 4:29 PM","1,136.14657608",BADGER,,,2,,,,,,,BCAP Fund,0x078a129510f21b9b345b37ca0eb4ae32b6618c4d5cbaa11216743170cf854444,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
FALSE,"May 12, 2021 4:18 PM",0.0023163,FARM-SLP-7,,,1,,,,,,,BCAP Fund,0x89f66f5a1e5bc35770c3be1eb7bd2fee465fd06a342b49cb57ba33618655d310,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x6B4e1E0656Dd38F36c318b077134487B9b0cf7a6
FALSE,"May 12, 2021 4:18 PM",27.38865078,btbtc/sbtcCrv,,,,,,,,,,BCAP Fund,0x7834227508c6987abe079535d78ae4cdd336fa352221195ffd8df8ccd5bba63e,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x085A9340ff7692Ab6703F17aB5FfC917B580a6FD
FALSE,"May 12, 2021 4:18 PM",925.60753473,bBADGER,,,,,,,,,,BCAP Fund,0x648a0d81de24fcc7893642388eda0d3aa5cb55e8527df31dc9165882ecde3b8a,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xa9429271a28F8543eFFfa136994c0839E7d7bF77
FALSE,"May 12, 2021 4:18 PM",4.97969347,FARM,,,2,,,,,,,BCAP Fund,0x89f66f5a1e5bc35770c3be1eb7bd2fee465fd06a342b49cb57ba33618655d310,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x6B4e1E0656Dd38F36c318b077134487B9b0cf7a6
FALSE,"May 12, 2021 4:09 PM",-10.7778,FLX,,,1,,,,,,,BCAP Fund,0xd6e59b83b41391269a385d8695eab3d62275fbeab5d627c08cefb865e2ca2834,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 12, 2021 4:09 PM",,,,,,,,,,,,BCAP Fund,0x7c53a0a5ebca3441d0c891e5e0353d7b05d8b5721a969730c8a45e31b265ec3c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x6243d8CEA23066d098a15582d81a598b4e8391F4
FALSE,"May 12, 2021 4:09 PM","7,681.081529",USDC,,,2,,,,,,,BCAP Fund,0xd6e59b83b41391269a385d8695eab3d62275fbeab5d627c08cefb865e2ca2834,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 8, 2021 8:35 AM",333.87119452,BADGER,,,1,,,,,,,BCAP Fund,0xaa6f00a2912d32b09b5018ea1c2ebbc8164eb2b30ea3528615450419a8413f6a,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x660802Fc641b154aBA66a62137e71f331B6d787A
FALSE,"May 8, 2021 8:35 AM",0.00064719,DIGG,,,2,,,,,,,BCAP Fund,0xaa6f00a2912d32b09b5018ea1c2ebbc8164eb2b30ea3528615450419a8413f6a,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x660802Fc641b154aBA66a62137e71f331B6d787A
FALSE,"May 3, 2021 12:32 PM","-6,121.5339358",KEEP,,,1,,,,,,,BCAP Fund,0x6a666cf211d3d8588a26a8db93e37d7412ed9ce06ee85712eb6d1c6ff95a680a,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
FALSE,"May 3, 2021 12:32 PM","4,416.014416",USDC,,,2,,,,,,,BCAP Fund,0x6a666cf211d3d8588a26a8db93e37d7412ed9ce06ee85712eb6d1c6ff95a680a,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
FALSE,"May 3, 2021 12:30 PM",,,,,,,,,,,,BCAP Fund,0x61352d871a93dfdba8f1bebee908f2e78cd367e776f225ac154935ca0a9283a0,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x85Eee30c52B0b379b046Fb0F85F4f3Dc3009aFEC
FALSE,"Apr 30, 2021 10:18 AM","6,120.5891589",KEEP,,,,,,,,,,BCAP Fund,0x0553819ae65810fbe32b95c3eedc95c5bd7445c456c06b2731fc9795624e02bc,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x81C51dD453DBFf8f16036B3f0fB54d7bd03F036F
FALSE,"Apr 26, 2021 9:42 AM","-373,973.578935",FARM-USDC,,,,,,,,,,BCAP Fund,0x1ef6d4ed9e29e43c1d91000a03bc58c33086774fd3516ccd52929868066747ce,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x4F7c28cCb0F1Dbd1388209C67eEc234273C878Bd
FALSE,"Apr 26, 2021 9:41 AM","373,973.578935",FARM-USDC,,,1,,,,,,,BCAP Fund,0x0935290f88bdbe4f88efd63effa3538858d225b7050160ebb99cf8d630c657a2,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE
FALSE,"Apr 26, 2021 9:41 AM","-335,424.384431",USDC,,,2,,,,,,,BCAP Fund,0x0935290f88bdbe4f88efd63effa3538858d225b7050160ebb99cf8d630c657a2,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE
FALSE,"Apr 26, 2021 9:37 AM","-168,498.7966",MATIC,,,1,,,,,,,BCAP Fund,0x2308091d233d9055fe7323f838898273fc3de66d220b70344906111624908705,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"Apr 26, 2021 9:37 AM","86,778.048774",USDC,,,2,,,,,,,BCAP Fund,0x2308091d233d9055fe7323f838898273fc3de66d220b70344906111624908705,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"Apr 22, 2021 3:56 PM",10.77780654,FLX,,,,,,,,,,BCAP Fund,0x97179c3d3214d81153e2996b296d230079915727129a978619d6b512aabb0547,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x8EcFf6Bc3076A3d673f321D61E1dd060e45C5774
FALSE,"Apr 15, 2021 6:03 PM","-129,598.73458043",MATIC,,,,,,,,,,BCAP Fund,0x756b32f1024c9a123fcecd93b4f8e4d9b43f053356fa91ac0c09f31a3b87aece,0x029f388aC4D5C8BfF490550ce0853221030E822b,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56
FALSE,"Apr 15, 2021 11:06 AM",-13.2241,FARM,,,1,,,,,,,BCAP Fund,0xc5dce31c277dfcd983e2c7115fdfde7fedbbfa3e55b9f58a1dec5bb007516aa9,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"Apr 15, 2021 11:06 AM","4,109.131112",USDC,,,2,,,,,,,BCAP Fund,0xc5dce31c277dfcd983e2c7115fdfde7fedbbfa3e55b9f58a1dec5bb007516aa9,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"Apr 15, 2021 11:05 AM",,,,,,,,,,,,BCAP Fund,0x706007fd07db300acb7d0d5e5dab9611d9b9f8bdc28eaadeb2eaedd128e3e27d,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xa0246c9032bC3A600820415aE600c6388619A14D
FALSE,"Apr 15, 2021 10:46 AM",,,,,,,,,,,,BCAP Fund,0x159e136144aab0f40fd929ed9eb20624ca396e6460ebad8ca38729452b82ba0d,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
FALSE,"Apr 15, 2021 10:45 AM",,,,,,,,,,,,BCAP Fund,0xb300515fadfae27794ce572502c63f5f3693d77a65fb19dc9c382cb6f436ed0b,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D
FALSE,"Apr 15, 2021 10:42 AM",13.22416908,FARM,,,,,,,,,,BCAP Fund,0xf85b2072aa6e05b4104b3772795b8e5916ca5e99e32dcb9e9a541ba1c99b9151,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x25550Cccbd68533Fa04bFD3e3AC4D09f9e00Fc50
FALSE,"Apr 15, 2021 10:42 AM",73.93270543,BADGER,,,,,,,,,,BCAP Fund,0x147026f0019322339656ff2b7aa1caebfd756fa6f5c9b3c464a6d7bfa0739bd9,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x660802Fc641b154aBA66a62137e71f331B6d787A
FALSE,"Apr 14, 2021 2:49 AM",,,,,,,,,,,,BCAP Fund,0x741f492f89f3edc413d92651eedb9e068e0d6b1abe99dfdde6773aa7b5ce3379,0xB28d2A7Dc98E2c4563D3320c5D9A355DAe6edFFf,0x2A88696e0fFA76bAA1338F2C74497cC013495922
FALSE,"Apr 13, 2021 6:32 PM","-10,054.89817442",MATIC,,,,,,,,,,BCAP Fund,0x415a1609c11da9eb4ae52e086770c3d680076d72df74ddb8f2107f972d75e9dd,0x25173F370Af28592354098A18e583f8EAa7AB264,0x0000000000000Eb4ec62758aaE93400B3E5f7f18
FALSE,"Apr 13, 2021 6:23 PM","-189,944.50062093",MATIC,,,,,,,,,,BCAP Fund,0x33a9ad8f73b7c209202a4994cdeb948af0eb370eefa93eb9a278f5d077785211,0x029f388aC4D5C8BfF490550ce0853221030E822b,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56
